Terim,Frekans,Source
özel gereksinim,40,article_2024_4
engel,33,article_2024_4
özel gereksinimli,31,article_2024_4
engelli,30,article_2024_4
özel eğitim,6,article_2024_4
bireysel,4,article_2024_4
otizm spektrum bozukluğu,3,article_2024_4
otizm,3,article_2024_4
zihin yetersizliği,2,article_2024_4
yetersizlik,2,article_2024_4
işitme yetersizliği,2,article_2024_4
bireysel farklılık,2,article_2024_4
görme yetersizliği,2,article_2024_4
yetersizliği olan,2,article_2024_4
dikkat eksikliği,1,article_2024_4
görme yetersizliği olan,1,article_2024_4
işitme engelli,1,article_2024_4
işitme kaybı,1,article_2024_4
dikkat eksikliği ve hiperaktivite bozukluğu,0,article_2024_4
destek eğitim,0,article_2024_4
engeli olan,0,article_2024_4
kaynak oda,0,article_2024_4
destek eğitim odası,0,article_2024_4
arızalı,0,article_2024_4
bireyselleştirilmiş eğitim,0,article_2024_4
bireysel eğitim,0,article_2024_4
bireyselleştirilmiş eğitim planı,0,article_2024_4
bireyselleştirilmiş eğitim programı,0,article_2024_4
az gören,0,article_2024_4
bireyselleştirme,0,article_2024_4
bireyselleştirilmiş,0,article_2024_4
arıza,0,article_2024_4
görme özürlü,0,article_2024_4
görme engeli,0,article_2024_4
görme kayıplı,0,article_2024_4
görme kaybı olan,0,article_2024_4
görme kaybı,0,article_2024_4
âmâ,0,article_2024_4
görme engelli,0,article_2024_4
kör,0,article_2024_4
dikkat eksikliği ve hiperaktivite bozukluğu olan,0,article_2024_4
disleksi,0,article_2024_4
sakat,0,article_2024_4
işitme kayıplı,0,article_2024_4
işitme engeli,0,article_2024_4
işitme özürlü,0,article_2024_4
işitme kaybı olan,0,article_2024_4
sağır,0,article_2024_4
özel eğitim hizmet,0,article_2024_4
otistik,0,article_2024_4
işitme yetersizliği olan,0,article_2024_4
ahraz,0,article_2024_4
özür,0,article_2024_4
özürlü,0,article_2024_4
özel eğitime muhtaç,0,article_2024_4
özel eğitime ihtiyacı olan,0,article_2024_4
rehabilitasyon,0,article_2024_4
birden fazla özür,0,article_2024_4
geri zekâlı,0,article_2024_4
zeka geriliği,0,article_2024_4
geri zekalı,0,article_2024_4
zihinsel yetersizlik,0,article_2024_4
zihin yetersizliği olan,0,article_2024_4
zihinsel yetersizliği olan,0,article_2024_4
özür,75,article_1977_1
özel eğitim,71,article_1977_1
sağır,58,article_1977_1
kör,56,article_1977_1
geri zekâlı,42,article_1977_1
arıza,34,article_1977_1
sakat,34,article_1977_1
özürlü,20,article_1977_1
arızalı,10,article_1977_1
yetersizlik,8,article_1977_1
yetersizliği olan,7,article_1977_1
özel eğitime muhtaç,7,article_1977_1
rehabilitasyon,6,article_1977_1
az gören,5,article_1977_1
geri zekalı,4,article_1977_1
görme özürlü,4,article_1977_1
ahraz,4,article_1977_1
otizm,4,article_1977_1
özel eğitim hizmet,4,article_1977_1
âmâ,3,article_1977_1
görme kaybı,2,article_1977_1
engel,2,article_1977_1
özel eğitime ihtiyacı olan,2,article_1977_1
işitme özürlü,1,article_1977_1
işitme kaybı,1,article_1977_1
görme kaybı olan,1,article_1977_1
bireysel,1,article_1977_1
birden fazla özür,1,article_1977_1
bireysel farklılık,0,article_1977_1
bireyselleştirme,0,article_1977_1
bireyselleştirilmiş,0,article_1977_1
bireysel eğitim,0,article_1977_1
görme yetersizliği olan,0,article_1977_1
görme yetersizliği,0,article_1977_1
görme engeli,0,article_1977_1
görme kayıplı,0,article_1977_1
engelli,0,article_1977_1
disleksi,0,article_1977_1
engeli olan,0,article_1977_1
görme engelli,0,article_1977_1
dikkat eksikliği ve hiperaktivite bozukluğu olan,0,article_1977_1
bireyselleştirilmiş eğitim programı,0,article_1977_1
bireyselleştirilmiş eğitim planı,0,article_1977_1
destek eğitim,0,article_1977_1
destek eğitim odası,0,article_1977_1
kaynak oda,0,article_1977_1
dikkat eksikliği,0,article_1977_1
dikkat eksikliği ve hiperaktivite bozukluğu,0,article_1977_1
bireyselleştirilmiş eğitim,0,article_1977_1
özel gereksinim,0,article_1977_1
işitme yetersizliği olan,0,article_1977_1
otistik,0,article_1977_1
işitme yetersizliği,0,article_1977_1
işitme kayıplı,0,article_1977_1
işitme kaybı olan,0,article_1977_1
işitme engeli,0,article_1977_1
işitme engelli,0,article_1977_1
otizm spektrum bozukluğu,0,article_1977_1
özel gereksinimli,0,article_1977_1
zeka geriliği,0,article_1977_1
zihin yetersizliği,0,article_1977_1
zihinsel yetersizlik,0,article_1977_1
zihin yetersizliği olan,0,article_1977_1
zihinsel yetersizliği olan,0,article_1977_1
